Symbol,Low,Last,High,Net Chng,%Change,Volume,Bid,Ask,Vol Index,Sizzle Index,Sector
A,67.21,67.31,67.66,-0.06,-0.09%,"141,438",67.27,67.32,31.16%,3.254,Health Care
AA,53.42,53.76,54.13,0,0.00%,"424,720",53.76,53.84,36.56%,0.673,Materials
AAC,11.37,11.43,11.89,-0.23,-1.97%,"22,383",11.43,11.46,72.18%,0.382,Health Care
AAL,42.76,42.78,43.06,-0.22,-0.51%,"492,444",42.78,42.79,33.23%,2.003,Industrials
AAN,39.33,39.6,39.795,0.27,0.69%,"30,174",39.58,39.6,31.63%,1.237,Consumer Discretionary
AAP,116.61,117.3401,117.76,0.5401,0.46%,"113,086",117.34,117.62,41.38%,14.742,Consumer Discretionary
AAT,34.87,34.98,35.03,0.03,0.09%,"11,507",34.97,35.02,17.10%,1.243,
AAU,0.81,0.813,0.8131,0.009682,1.21%,"7,881",0.8031,0.8096,148.05%,0.028,Materials
AAV,3.05,3.125,3.15,0.125,4.17%,"48,231",3.1,3.15,62.80%,1.087,Energy
AB,26.6,26.6,27,-0.3,-1.12%,"27,080",26.6,26.65,42.27%,0.411,Financials
ABB,23.84,23.84,23.9,-0.08,-0.33%,"287,849",23.83,23.84,17.80%,1.811,Industrials
ABC,84.28,85.245,85.4,0.555,0.66%,"76,524",85.18,85.31,33.22%,0.661,Health Care
ABG,69.55,69.55,70.075,-0.1,-0.14%,"5,224",69.55,69.75,31.28%,0.102,Consumer Discretionary
ABM,30.45,30.62,30.65,0.2,0.66%,"22,825",30.6,30.64,43.13%,0.075,Industrials
ABR,9.4465,9.45,9.49,0.04,0.43%,"122,251",9.44,9.45,29.04%,0.927,
ABT,58.5,58.54,58.9,-0.17,-0.29%,"255,617",58.53,58.54,21.72%,0.98,Health Care
ABX,13.11,13.2536,13.26,-0.0264,-0.20%,"791,372",13.25,13.26,29.59%,4.294,Materials
AC,37,37,37.3,-0.8,-2.12%,"1,223",36.3,37.35,<empty>,<empty>,Financials
ACC,39.71,39.77,39.95,-0.07,-0.18%,"23,962",39.76,39.8,26.66%,0.44,
ACH,13.91,13.95,13.98,0.05,0.36%,"4,818",13.95,13.97,38.81%,0.305,Materials
ACM,34.93,35.15,35.46,-0.25,-0.71%,"226,754",35.13,35.17,26.49%,0.342,Industrials
ACN,152.56,152.9,153.5,0.96,0.63%,"147,844",152.87,152.92,18.87%,1.576,Information Technology
ACP,13.93,13.94,13.95,0.01,0.07%,"13,969",13.91,13.94,<empty>,<empty>,
ACU,0,20.91,0,0,0.00%,2,20.01,21.97,<empty>,<empty>,Industrials
ACV,22.98,23.04,23.12,0.12,0.52%,"6,433",23,23.03,<empty>,<empty>,
ACY,0,16.1,0,0,0.00%,27,15.35,16.3,<empty>,<empty>,Industrials
ADC,50.031,50.13,50.45,-0.13,-0.26%,"5,100",50.15,50.2,22.32%,0.074,
ADI,91.42,92.04,92.23,0.62,0.68%,"231,010",92.02,92.1,26.14%,1.526,Information Technology
